Stock Symbol,Current Price,Year Target Price,Year High,Year Low
A,59.80,64.61,42.92,61.15
AA-B,null,null,null,null
AAN,37.96,38.63,21.50,40.33
AAT,38.38,46.33,37.54,46.38
AB,24.00,24.93,20.40,25.12
ABBV,71.84,74.22,55.06,73.67
ABEV,5.64,6.20,4.70,6.39
ABM,40.69,47.75,36.54,45.03
ABR-A,null,null,null,null
ABR-C,null,null,null,null
ABT,48.15,51.13,37.38,49.59
AC,33.50,10.87,28.93,39.35
ACCO,11.85,16.25,9.06,14.75
ACM,32.19,40.50,26.46,40.72
ACP,14.00,null,11.85,14.60
ACV,20.94,36.93,16.87,21.37
ADC,45.67,52.05,41.01,51.50
ADPT,1.41,3.00,0.90,73.44
ADX,14.44,null,12.33,14.45
AED,26.27,null,24.71,26.68
AEG,5.50,5.06,3.63,5.84
AEK,26.19,null,25.54,28.15
AEM,44.81,55.49,35.05,60.10
AEP,68.84,71.32,57.89,72.97
AES,10.93,13.03,10.60,13.32
AET,154.04,153.85,104.59,155.15
AF,20.23,22.38,14.11,21.66
AFA,25.3501,null,24.1577,26.3099
AFC,26.16,null,25.10,26.28
AFGE,27.07,null,24.43,28.28
AFI,17.50,19.50,15.48,22.96
AFS-A,null,null,null,null
AFS-C,null,null,null,null
AFS-E,null,null,null,null
AFSS,25.33,null,22.57,26.81
AFT,16.94,null,15.79,18.08
AG,7.80,12.24,6.62,19.15
AGCO,70.41,65.62,46.22,70.77
AGI,6.79,9.52,5.95,10.41
AGM-A,65.00,null,36.78,70.00
AGM-C,null,null,null,null
AGN,242.12,272.44,184.50,261.27
AGO,43.08,48.00,25.14,43.52
AGO-E,null,null,null,null
AGR,43.48,46.71,35.42,46.44
AGU,95.79,103.94,87.75,111.88
AHC,5.50,3.00,4.93,7.95
AHL,50.60,54.33,44.05,57.80
AHL-B,null,null,null,null
AHP,10.45,13.00,9.28,17.64
AHS,33.02,46.93,21.24,44.99
AHT-A,null,null,null,null
AHT-E,null,null,null,null
AIB,25.15,null,24.20,26.79
AIF,16.49,21.68,14.38,16.77
AIG.W,null,null,null,null
AIR,36.65,37.75,21.99,38.75
AIV,42.42,46.69,39.66,47.91
AIV-Z,null,null,null,null
AIY,26.23,null,24.78,27.41
AJG,56.76,61.55,47.16,59.11
AJX,14.09,16.38,12.61,14.60
AKO.B,null,null,null,null
AKR,27.33,32.17,26.70,38.01
AL,38.57,46.25,26.27,40.24
ALDW,11.00,11.67,7.63,12.44
ALEX,41.59,51.50,35.38,46.87
ALJ,13.32,11.35,5.86,13.97
ALL,87.94,93.23,66.55,90.74
ALL-B,null,null,null,null
ALL-D,null,null,null,null
ALL-F,null,null,null,null
ALLY,20.90,24.94,16.08,23.62
ALR,50.35,51.00,31.47,50.49
ALSN,38.65,43.00,26.74,40.02
ALX,419.89,440.00,369.33,451.99
AMBR,9.02,13.40,6.71,12.30
AME,61.62,64.60,43.30,62.89
AMG,171.65,189.75,130.48,173.44
AMH-A,null,null,null,null
AMH-C,null,null,null,null
AMH-E,null,null,null,null
AMP,131.44,141.60,86.25,135.20
AMT,130.93,143.50,99.72,137.12
AMT-B,null,null,null,null
AMX,16.70,15.42,11.02,16.75
ANET,153.16,151.09,66.06,162.97
ANFI,5.54,8.00,4.50,8.99
ANH-A,null,null,null,null
ANH-C,null,null,null,null
ANTX,53.00,null,41.00,54.24
AOD,8.75,null,7.07,8.85
AON,134.04,135.57,105.35,137.27
AP,14.70,16.00,9.34,18.25
APAM,31.00,29.88,24.48,32.20
APC,43.64,70.89,42.58,73.33
APF,16.47,null,12.80,16.73
APLE,18.41,19.90,17.32,20.68
APTS,15.57,17.25,12.02,16.50
AR,21.51,30.28,19.51,28.30
ARC,4.10,6.00,3.06,5.55
ARCX,15.07,14.40,12.86,17.40
ARE,117.85,122.91,101.31,122.28
ARE-D,null,null,null,null
ARES,18.05,21.89,14.37,23.25
ARI,18.39,18.07,15.54,19.92
ARL,8.4892,null,4.9242,9.9900
AROC,11.20,13.71,8.28,16.40
ARP-D,null,null,null,null
ARR,25.45,24.00,20.14,27.60
ARR-B,null,null,null,null
ARW,78.77,80.25,58.51,80.35
ASB,25.25,25.31,17.06,26.70
ASB-C,null,null,null,null
ASG,4.98,3.60,3.88,5.04
ASH,65.87,80.50,60.27,128.19
ASR,211.17,186.20,131.72,215.35
AT,2.30,2.67,2.12,2.75
ATHM,46.97,39.70,19.32,47.07
ATKR,23.02,28.14,14.17,27.30
ATR,88.17,79.71,70.32,88.58
ATU,24.90,0.56,20.54,29.80
ATW,7.70,9.32,6.12,15.37
AUO,4.30,5.54,3.36,4.95
AV,11.69,null,9.11,15.59
AVAL,8.30,8.74,7.18,9.04
AVD,18.05,20.75,14.20,20.00
AVH,7.08,7.48,5.78,10.91
AVP,3.69,4.61,3.24,6.96
AVV,25.63,null,25.06,26.95
AVY,91.75,89.86,68.55,92.33
AWH,48.02,51.67,34.84,54.46
AWK,77.75,84.55,69.41,83.39
AWR,47.53,42.40,37.47,50.86
AXL,16.13,17.55,12.61,21.25
AXON,22.09,29.94,11.01,25.18
AXR,6.71,2.46,4.85,8.14
AXS-C,null,null,null,null
AXTA,32.71,34.00,24.27,34.10
AYR,21.64,24.73,18.26,25.98
AZO,499.57,717.05,498.50,819.54
